id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license;ciudad
1117535871693743728;¡Excelente piso en Madrid!;160491374;David Juan;Salamanca;Lista;40.43342058373022;-3.6783308245227135;Entire home/apt;;3;10;2024-07-21;1.99;1;0;10;;madrid
707073912721841330;Malasaña Terrace apartment in Madrid;377605855;MIT House;Centro;Justicia;40.42383;-3.69884;Entire home/apt;244.0;1;67;2024-09-04;2.77;312;76;33;;madrid
700506328928861604;Blueground | Chueca, in the heart of Madrid;434208714;Blueground;Centro;Justicia;40.4245547;-3.6991939;Entire home/apt;125.0;30;1;2024-03-26;0.18;221;164;1;;madrid
19011445;Moderno apartamento en Plaza de España / Gran Vía;132637315;Julian;Moncloa - Aravaca;Argüelles;40.42494;-3.71319;Entire home/apt;144.0;2;387;2024-09-06;4.37;2;264;77;VT-4764;madrid
53400229;Private Room in the heart of Madrid;343428667;Klevi;Centro;Justicia;40.42673;-3.70072;Private room;46.0;1;22;2024-06-19;0.83;7;362;9;;madrid
1171090884750051110;Linda habitación en casa con ambiente tranquilo;418127467;Talía Lucero;Carabanchel;Opañel;40.39038;-3.72543;Private room;40.0;1;1;2024-06-15;0.34;2;269;1;;madrid
17281972;Spacious and Elegant Apartment in Reina Sofía;61396897;Ángel Stayaday;Centro;Embajadores;40.4089;-3.6945;Entire home/apt;131.0;3;321;2024-09-03;3.5;13;30;55;00000;madrid
29023627;Apartamento completo C/ Alcala -Madrid;218735767;Giovanna;Ciudad Lineal;Quintana;40.43673;-3.64174;Entire home/apt;93.0;2;340;2024-09-07;4.72;1;95;79;;madrid
1131157439225036550;Tu casa en Madrid;92184438;Tato;Latina;Cármenes;40.39784598310794;-3.739957170968733;Entire home/apt;127.0;1;39;2024-08-26;7.75;5;74;39;;madrid
54138240;Precioso piso en madrid;438896829;Juan Carlos;Ciudad Lineal;Ventas;40.43222;-3.65326;Entire home/apt;90.0;1;304;2024-09-08;9.4;1;35;149;;madrid
